Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",7597346,100.0,100.0
All By changed lines,Google,1,"",4529949,59.625,59.625
By changed lines,Google,1,pkg,1306241,28.836,17.193
By changed lines,Google,1,staging,845421,18.663,11.128
By changed lines,Google,1,staging/src/k8s.io,844723,18.648,11.119
By changed lines,Google,1,staging/src/k8s.io/client-go,802802,17.722,10.567
By changed lines,Google,1,third_party,731193,16.141,9.624
By changed lines,Google,1,third_party/src,440923,9.734,5.804
By changed lines,Google,1,third_party/src/code.google.com/p,412557,9.107,5.43
By changed lines,Google,1,third_party/src/code.google.com/p/google-api-go-client,377868,8.342,4.974
By changed lines,Google,1,api,327298,7.225,4.308
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,304493,6.722,4.008
By changed lines,Google,1,staging/src/k8s.io/client-go/1.4,236185,5.214,3.109
By changed lines,Google,1,pkg/client,216155,4.772,2.845
By changed lines,Google,1,pkg/kubelet,202988,4.481,2.672
By changed lines,Google,1,pkg/ui,201167,4.441,2.648
By changed lines,Google,1,test,198700,4.386,2.615
By changed lines,Google,1,release-0.20.0,190262,4.2,2.504
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5,182961,4.039,2.408
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x,173450,3.829,2.283
By changed lines,Google,1,staging/src/k8s.io/client-go/1.5/_vendor,169743,3.747,2.234
By changed lines,Google,1,pkg/api,167388,3.695,2.203
By changed lines,Google,1,api/swagger-spec,165752,3.659,2.182
By changed lines,Google,1,docs,164202,3.625,2.161
All By changed lines,Red Hat,2,"",1308706,17.226,17.226
By changed lines,Red Hat,2,pkg,691944,52.872,9.108
By changed lines,Red Hat,2,staging,199504,15.244,2.626
By changed lines,Red Hat,2,staging/src/k8s.io,198851,15.194,2.617
By changed lines,Red Hat,2,pkg/client,138607,10.591,1.824
By changed lines,Red Hat,2,api,99069,7.57,1.304
By changed lines,Red Hat,2,staging/src/k8s.io/client-go,98063,7.493,1.291
By changed lines,Red Hat,2,pkg/api,77904,5.953,1.025
By changed lines,Red Hat,2,pkg/kubectl,65607,5.013,0.864
By changed lines,Red Hat,2,api/swagger-spec,63539,4.855,0.836
By changed lines,Red Hat,2,test,63341,4.84,0.834
By changed lines,Red Hat,2,pkg/controller,61367,4.689,0.808
By changed lines,Red Hat,2,pkg/kubelet,57279,4.377,0.754
By changed lines,Red Hat,2,docs,56695,4.332,0.746
By changed lines,Red Hat,2,contrib,54217,4.143,0.714
By changed lines,Red Hat,2,pkg/registry,48937,3.739,0.644
By changed lines,Red Hat,2,plugin,44954,3.435,0.592
By changed lines,Red Hat,2,plugin/pkg,44501,3.4,0.586
By changed lines,Red Hat,2,pkg/apis,42725,3.265,0.562
By changed lines,Red Hat,2,test/e2e,41692,3.186,0.549
By changed lines,Red Hat,2,contrib/mesos,41584,3.177,0.547
By changed lines,Red Hat,2,contrib/mesos/pkg,38412,2.935,0.506
By changed lines,Red Hat,2,pkg/kubectl/cmd,38360,2.931,0.505
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery,37862,2.893,0.498
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery/pkg,36912,2.82,0.486
All By changed lines,Self,3,"",481382,6.336,6.336
By changed lines,Self,3,third_party,378961,78.724,4.988
By changed lines,Self,3,third_party/src,378834,78.697,4.986
By changed lines,Self,3,third_party/src/code.google.com/p,353027,73.336,4.647
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client,352788,73.286,4.644
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute,59431,12.346,0.782
By changed lines,Self,3,pkg,34774,7.224,0.458
By changed lines,Self,3,cmd,26450,5.495,0.348
By changed lines,Self,3,cmd/kubeadm,25436,5.284,0.335
By changed lines,Self,3,cmd/kubeadm/app,25419,5.28,0.335
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/adsense,25168,5.228,0.331
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/youtube,19550,4.061,0.257
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute/v1beta16,17847,3.707,0.235
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/compute/v1beta15,17144,3.561,0.226
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/youtube/v3,16012,3.326,0.211
By changed lines,Self,3,cluster,15569,3.234,0.205
By changed lines,Self,3,third_party/src/github.com,15221,3.162,0.2
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/dfareporting,14567,3.026,0.192
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/google-api-go-generator,14493,3.011,0.191
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/analytics,13030,2.707,0.172
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/google-api-go-generator/testdata,12853,2.67,0.169
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/admin,12156,2.525,0.16
By changed lines,Self,3,cmd/kubeadm/app/phases,12014,2.496,0.158
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/drive,11930,2.478,0.157
By changed lines,Self,3,third_party/src/code.google.com/p/google-api-go-client/analytics/v3,11862,2.464,0.156
All By changed lines,Kismatic,4,"",248768,3.274,3.274
By changed lines,Kismatic,4,third_party/ui/bower_components,178902,71.915,2.355
By changed lines,Kismatic,4,third_party/ui/bower_components/angular-material,57337,23.048,0.755
By changed lines,Kismatic,4,www,46088,18.526,0.607
By changed lines,Kismatic,4,third_party/ui/bower_components/angular-material/modules,38095,15.313,0.501
By changed lines,Kismatic,4,third_party/ui/bower_components/angular,26697,10.732,0.351
By changed lines,Kismatic,4,third_party/ui/bower_components/angular/angular.js,26309,10.576,0.346
By changed lines,Kismatic,4,pkg/ui,23646,9.505,0.311
By changed lines,Kismatic,4,www/master,23251,9.346,0.306
By changed lines,Kismatic,4,www/app,21121,8.49,0.278
By changed lines,Kismatic,4,third_party/ui/bower_components/modernizr,19328,7.769,0.254
By changed lines,Kismatic,4,third_party/ui/bower_components/lodash,19155,7.7,0.252
By changed lines,Kismatic,4,third_party/ui/bower_components/jquery,19144,7.696,0.252
By changed lines,Kismatic,4,third_party/ui/bower_components/lodash/dist,19077,7.669,0.251
By changed lines,Kismatic,4,pkg/ui/datafile.go,18707,7.52,0.246
By changed lines,Kismatic,4,third_party/ui/bower_components/angular-material/modules/closure,18622,7.486,0.245
