Order,Company,Index,File/Directory,Number,Percent,PercentAll
All By changed lines,All,0,"",8184627,100.0,100.0
All By changed lines,Google,1,"",3788150,46.284,46.284
By changed lines,Google,1,staging,1724760,45.53,21.073
By changed lines,Google,1,staging/src/k8s.io,1724282,45.518,21.067
By changed lines,Google,1,staging/src/k8s.io/client-go,1705605,45.025,20.839
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor,1690434,44.624,20.654
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x,1008692,26.628,12.324
By changed lines,Google,1,api,920689,24.304,11.249
By changed lines,Google,1,api/openapi-spec,638169,16.846,7.797
By changed lines,Google,1,api/openapi-spec/swagger.json,638156,16.846,7.797
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com,594673,15.698,7.266
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/sys,573960,15.151,7.013
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/sys/unix,573911,15.15,7.012
By changed lines,Google,1,pkg,420787,11.108,5.141
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/golang.org/x/text,367698,9.707,4.493
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go,341723,9.021,4.175
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go/codec,341701,9.02,4.175
By changed lines,Google,1,api/swagger-spec,282500,7.457,3.452
By changed lines,Google,1,staging/src/k8s.io/client-go/_vendor/github.com/ugorji/go/codec/fast-path.generated.go,269091,7.103,3.288
By changed lines,Google,1,federation,201234,5.312,2.459
By changed lines,Google,1,docs,200674,5.297,2.452
By changed lines,Google,1,federation/apis,185606,4.9,2.268
By changed lines,Google,1,federation/apis/openapi-spec/swagger.json,179889,4.749,2.198
All By changed lines,Red Hat,2,"",3222332,39.371,39.371
By changed lines,Red Hat,2,api,1339083,41.556,16.361
By changed lines,Red Hat,2,api/openapi-spec/swagger.json,879040,27.28,10.74
By changed lines,Red Hat,2,pkg,813502,25.246,9.939
By changed lines,Red Hat,2,staging,547281,16.984,6.687
By changed lines,Red Hat,2,staging/src/k8s.io,545947,16.943,6.67
By changed lines,Red Hat,2,api/swagger-spec,460043,14.277,5.621
By changed lines,Red Hat,2,staging/src/k8s.io/client-go,345222,10.713,4.218
By changed lines,Red Hat,2,federation,300495,9.325,3.671
By changed lines,Red Hat,2,federation/apis,290409,9.012,3.548
By changed lines,Red Hat,2,pkg/client,260501,8.084,3.183
By changed lines,Red Hat,2,api/swagger-spec/v1.json,222993,6.92,2.725
By changed lines,Red Hat,2,federation/apis/openapi-spec/swagger.json,167398,5.195,2.045
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery,166541,5.168,2.035
By changed lines,Red Hat,2,staging/src/k8s.io/apimachinery/pkg,161329,5.007,1.971
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor,158120,4.907,1.932
By changed lines,Red Hat,2,api/swagger-spec/extensions_v1beta1.json,149730,4.647,1.829
By changed lines,Red Hat,2,federation/apis/swagger-spec,121922,3.784,1.49
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor/k8s.io/apimachinery,119609,3.712,1.461
By changed lines,Red Hat,2,staging/src/k8s.io/client-go/_vendor/k8s.io/apimachinery/pkg,113747,3.53,1.39
By changed lines,Red Hat,2,plugin,80215,2.489,0.98
By changed lines,Red Hat,2,plugin/pkg,79955,2.481,0.977
All By changed lines,Microsoft,3,"",299353,3.658,3.658
By changed lines,Microsoft,3,docs,274786,91.793,3.357
By changed lines,Microsoft,3,docs/proposals,123283,41.183,1.506
By changed lines,Microsoft,3,docs/design,89650,29.948,1.095
By changed lines,Microsoft,3,docs/devel,61801,20.645,0.755
By changed lines,Microsoft,3,pkg,18490,6.177,0.226
By changed lines,Microsoft,3,pkg/proxy,10980,3.668,0.134
By changed lines,Microsoft,3,pkg/proxy/winuserspace,10699,3.574,0.131
By changed lines,Microsoft,3,docs/devel/api-conventions.md,9975,3.332,0.122
By changed lines,Microsoft,3,docs/design/podaffinity.md,6334,2.116,0.077
By changed lines,Microsoft,3,docs/devel/api_changes.md,5186,1.732,0.063
By changed lines,Microsoft,3,docs/proposals/federation.md,5109,1.707,0.062
By changed lines,Microsoft,3,docs/proposals/rescheduling.md,5108,1.706,0.062
By changed lines,Microsoft,3,docs/design/indexed-job.md,4925,1.645,0.06
By changed lines,Microsoft,3,docs/devel/e2e-tests.md,4712,1.574,0.058
By changed lines,Microsoft,3,translations,4581,1.53,0.056
By changed lines,Microsoft,3,docs/proposals/templates.md,4519,1.51,0.055
By changed lines,Microsoft,3,docs/proposals/disk-accounting.md,4221,1.41,0.052
By changed lines,Microsoft,3,docs/proposals/multi-platform.md,4080,1.363,0.05
By changed lines,Microsoft,3,translations/kubectl,4037,1.349,0.049
By changed lines,Microsoft,3,docs/devel/local-cluster,3850,1.286,0.047
By changed lines,Microsoft,3,docs/proposals/garbage-collection.md,3722,1.243,0.045
By changed lines,Microsoft,3,docs/design/volume-snapshotting.md,3689,1.232,0.045
By changed lines,Microsoft,3,docs/design/secrets.md,3523,1.177,0.043
By changed lines,Microsoft,3,pkg/proxy/winuserspace/proxier.go,3489,1.166,0.043
By changed lines,Microsoft,3,docs/proposals/stateful-apps.md,3369,1.125,0.041
All By changed lines,JPMorgan Chase,4,"",242408,2.962,2.962
By changed lines,JPMorgan Chase,4,api,195410,80.612,2.388
By changed lines,JPMorgan Chase,4,api/openapi-spec/swagger.json,133672,55.143,1.633
By changed lines,JPMorgan Chase,4,api/swagger-spec,61738,25.469,0.754
By changed lines,JPMorgan Chase,4,api/swagger-spec/v1.json,39329,16.224,0.481
By changed lines,JPMorgan Chase,4,federation/apis/openapi-spec/swagger.json,25978,10.717,0.317
By changed lines,JPMorgan Chase,4,api/swagger-spec/extensions_v1beta1.json,19158,7.903,0.234
By changed lines,JPMorgan Chase,4,pkg,16638,6.864,0.203
By changed lines,JPMorgan Chase,4,pkg/kubelet,11163,4.605,0.136
By changed lines,JPMorgan Chase,4,pkg/kubelet/server,7372,3.041,0.09
By changed lines,JPMorgan Chase,4,pkg/kubelet/server/portforward,4921,2.03,0.06
By changed lines,JPMorgan Chase,4,test/e2e,4371,1.803,0.053
By changed lines,JPMorgan Chase,4,api/swagger-spec/apps_v1beta1.json,3088,1.274,0.038
By changed lines,JPMorgan Chase,4,test/e2e/common,3038,1.253,0.037
All By changed lines,Mirantis,5,"",108724,1.328,1.328
By changed lines,Mirantis,5,api,66109,60.804,0.808
By changed lines,Mirantis,5,api/swagger-spec,38622,35.523,0.472
By changed lines,Mirantis,5,api/openapi-spec/swagger.json,27487,25.281,0.336
By changed lines,Mirantis,5,pkg,23911,21.992,0.292
By changed lines,Mirantis,5,api/swagger-spec/extensions_v1beta1.json,16238,14.935,0.198
By changed lines,Mirantis,5,federation/apis,15600,14.348,0.191
By changed lines,Mirantis,5,api/swagger-spec/v1.json,11040,10.154,0.135
By changed lines,Mirantis,5,federation/apis/openapi-spec/swagger.json,10017,9.213,0.122
By changed lines,Mirantis,5,pkg/controller,6468,5.949,0.079
By changed lines,Mirantis,5,pkg/controller/daemon,6464,5.945,0.079
By changed lines,Mirantis,5,pkg/kubectl,6179,5.683,0.075
By changed lines,Mirantis,5,federation/apis/swagger-spec/extensions_v1beta1.json,5583,5.135,0.068
By changed lines,Mirantis,5,pkg/kubectl/cmd,5271,4.848,0.064
By changed lines,Mirantis,5,api/swagger-spec/apps_v1beta1.json,4331,3.983,0.053
By changed lines,Mirantis,5,pkg/volume/downwardapi/downwardapi_test.go,4009,3.687,0.049
By changed lines,Mirantis,5,api/swagger-spec/apps_v1alpha1.json,3749,3.448,0.046
