idx,company,n,percent
0,(All known 552),31157,99.41
1,Google,15827,50.5
2,Red Hat,6908,22.0
3,(Self),1291,4.1
4,CoreOS,765,2.4
5,Huawei,700,2.2
6,ZTE Corporation,548,1.7
7,IBM,347,1.1
8,Mirantis,262,0.8
9,Fujitsu,231,0.7
10,Microsoft,220,0.7
11,Mesosphere,196,0.6
12,Hyper.sh,188,0.6
13,Caicloud,163,0.5
14,Apache,155,0.5
15,EasyStack,152,0.5
16,Docker,147,0.5
17,Canonical,140,0.4
18,VMware,122,0.4
19,Net EASE 网易有态度,122,0.4
20,(Unknown),120,0.4
26,(Not Found),64,0.2
31,Gmail *,45,0.1
633,Qq *,1,0.0
636,Outlook *,1,0.0
643,Hotmail *,1,0.0
