idx,company,n,percent
0,(All known 540),28130931,99.96
1,Google,15481543,55.0
2,Red Hat,5915343,21.0
3,CoreOS,1146878,4.1
4,(Self),906590,3.2
5,Mesosphere,649560,2.3
6,Microsoft,400383,1.4
7,IBM,356571,1.3
8,HP,302431,1.1
9,Mirantis,250523,0.9
10,Schuberg Philis,212673,0.8
11,Huawei,182395,0.6
12,Bulletproof,148944,0.5
13,Kismatic,144180,0.5
14,JPMorgan Chase,143091,0.5
15,Apache,129513,0.5
16,VMware,122789,0.4
17,Epic Games,97357,0.3
18,PHP,94384,0.3
19,Box,93295,0.3
20,Hyper.sh,84776,0.3
54,(Not Found),10099,0.0
108,(Unknown),966,0.0
177,Gmail *,209,0.0
