idx,company,n,percent
0,(All known 1186),74250,98.4
1,Google,32651,43.3
2,Red Hat,14023,18.6
3,(Self),3905,5.2
4,Microsoft,2128,2.8
5,CoreOS,1975,2.6
6,Huawei,1715,2.3
7,ZTE Corporation,1326,1.8
8,IBM,1008,1.3
9,(Unknown),972,1.3
10,Fujitsu,943,1.2
11,Mirantis,939,1.2
12,Weaveworks,687,0.9
13,SOFICOM,682,0.9
14,Gmail *,485,0.6
15,Hyper.sh,376,0.5
16,Intel,346,0.5
17,Apache,311,0.4
18,クラウドワークス,294,0.4
19,Arkena,290,0.4
20,Mesosphere,284,0.4
21,United Creations,269,0.4
22,Caicloud,268,0.4
23,Zalando,256,0.3
24,Bitnami,247,0.3
25,VMware,244,0.3
26,(Not Found),233,0.3
27,Docker,215,0.3
28,Aperian Global,206,0.3
29,CNM Consulting,195,0.3
30,EasyStack,190,0.3
31,Canonical,178,0.2
32,Apprenda,166,0.2
33,Net EASE 网易有态度,160,0.2
34,Cisco,144,0.2
35,UsersNoreplyGithub *,128,0.2
36,Kelowna,123,0.2
37,Amadeus,119,0.2
38,eBay,116,0.2
39,Tyk,112,0.1
40,HP,108,0.1
41,Basekamp,101,0.1
42,Dell,93,0.1
43,Devops,90,0.1
44,Rackspace,90,0.1
45,Samsung,89,0.1
46,Solinea,76,0.1
47,Atlassian,76,0.1
48,Buildbot,75,0.1
49,SUSE/Novell,75,0.1
50,Tigera,74,0.1
51,Box,73,0.1
52,Heptio,72,0.1
53,SalesForce,67,0.1
54,Telemetry.com,65,0.1
55,DaoCloud,63,0.1
56,Wattpad,61,0.1
57,WIDEN,58,0.1
58,Clarifai,58,0.1
59,SAP,54,0.1
60,LexisNexis,54,0.1
61,clibs,54,0.1
62,China Mobile International Limited,54,0.1
63,SERPRO,53,0.1
64,HarmonyCloud,51,0.1
65,lars.lehtonen!gmail.com,48,0.1
66,Descomplica,47,0.1
67,JPMorgan Chase,47,0.1
68,Digidentity,46,0.1
69,Bitgame Labs,46,0.1
70,kevinmichaelschumacher!gmail.com,43,0.1
71,Endocode,42,0.1
72,InfluxData,42,0.1
73,ASG Consulting,41,0.1
74,The New York Times,41,0.1
75,Vayable,40,0.1
76,Airbnb,40,0.1
77,CERN,39,0.1
78,Morea,38,0.1
79,Zhejiang University,37,0.0
80,Bulletproof,37,0.0
81,Concur,36,0.0
82,Linux,36,0.0
