idx,company,n,percent
0,(All known 1177),61943,99.48
1,Google,27939,44.9
2,Red Hat,10974,17.6
3,(Self),3383,5.4
4,Microsoft,1976,3.2
5,CoreOS,1783,2.9
6,ZTE Corporation,1009,1.6
7,Mirantis,835,1.3
8,Fujitsu,809,1.3
9,Huawei,780,1.3
10,IBM,702,1.1
11,Weaveworks,674,1.1
12,SOFICOM,599,1.0
13,Hyper.sh,310,0.5
14,Apache,304,0.5
15,Arkena,290,0.5
16,Mesosphere,276,0.4
17,Intel,270,0.4
18,クラウドワークス,249,0.4
19,Bitnami,236,0.4
20,Zalando,236,0.4
23,(Not Found),190,0.3
31,(Unknown),136,0.2
48,Gmail *,60,0.1
403,Hotmail *,4,0.0
1286,Qq *,1,0.0
1291,Outlook *,1,0.0
