idx,company,n,percent
0,(All known 115),3000150,99.99
1,Google,1582658,52.7
2,Red Hat,627123,20.9
3,CoreOS,143273,4.8
4,Heptio,72792,2.4
5,IBM,65399,2.2
6,Rancher,60046,2.0
7,Microsoft,55663,1.9
8,Kelowna,49952,1.7
9,Airbnb,46989,1.6
10,VMware,44617,1.5
11,storageos,39494,1.3
12,(Self),32379,1.1
13,Caicloud,29593,1.0
14,Hyper.sh,23507,0.8
15,Wattpad,17671,0.6
16,Huawei,14638,0.5
17,TravelSky Technology Limited,11126,0.4
18,Rackspace,8821,0.3
19,Fujitsu,7572,0.3
20,EasyStack,6157,0.2
60,(Not Found),199,0.0
