Date,Google,Red Hat,(Self),Microsoft,CoreOS,ZTE Corporation,Mirantis,Weaveworks,Fujitsu,IBM,Others
2016-01,45.3,13.4,3.5,1.7,3.8,0,0.1,9.7,2.4,0.2,19.9
2016-02,52.6,12.6,3.4,3.8,1.9,0,0.1,3.6,2.5,0.6,18.9
2016-03,49.3,10.7,2.5,7.9,2.4,0,0.0,6.0,2.4,0.8,18.0
2016-04,41.1,17.1,1.7,7.6,5.9,0.1,0.6,2.8,1.5,2.1,19.5
2016-05,44.8,14.8,5.7,3.9,4.6,0.6,1.2,2.5,1.4,1.0,19.5
2016-06,52.1,9.5,11.2,5.0,4.0,1.0,1.8,0.3,2.7,0.5,11.9
2016-07,41.0,13.9,9.1,4.1,2.9,5.3,4.2,0.5,1.2,1.1,16.7
2016-08,52.8,13.4,6.5,3.9,3.4,2.0,3.1,0.2,0.8,0.8,13.1
2016-09,39.7,24.5,6.6,3.1,5.8,2.3,3.3,1.7,1.2,0.8,11.0
2016-10,40.7,22.0,5.7,5.4,2.1,0.6,2.9,0.8,0.7,1.4,17.7
2016-11,48.1,16.9,3.5,3.4,2.7,1.4,2.3,0.2,1.5,0.5,19.5
2016-12,34.8,18.7,9.2,4.8,3.0,2.2,2.8,0,0.7,1.9,21.9
2017-01,31.2,27.0,8.7,2.5,1.9,1.9,2.3,0,0.3,2.2,22.0
2017-02,29.6,22.9,6.5,3.0,2.3,3.7,2.3,0.1,1.0,2.3,26.3
2017-03,31.3,18.7,5.3,2.3,4.9,5.5,2.1,0.1,2.2,2.1,25.5
2017-04,35.0,14.1,5.9,3.5,2.4,4.6,2.0,0.0,1.6,2.7,28.2
2017-05,40.4,18.2,3.8,4.0,2.4,2.6,0.5,0.1,1.9,1.8,24.3
2017-06,39.4,14.8,5.2,3.2,3.2,1.4,0.3,0.1,2.6,2.4,27.4
